GAME_ID,PARK
BOS191004191,BOS06
BOS191004192,BOS06
BOS191004200,BOS06
BOS191004210,BOS06
BOS191004220,BOS06
BOS191004230,BOS06
BOS191004250,BOS06
BOS191005060,BOS06
BOS191005070,BOS06
BOS191005090,BOS06
BOS191005100,BOS06
BOS191005110,BOS06
BOS191005120,BOS06
BOS191005130,BOS06
BOS191005140,BOS06
BOS191005160,BOS06
BOS191005170,BOS06
BOS191005190,BOS06
BOS191005200,BOS06
BOS191005230,BOS06
BOS191005240,BOS06
BOS191005260,BOS06
BOS191005270,BOS06
BOS191005280,BOS06
BOS191005301,BOS06
BOS191005302,BOS06
BOS191005311,BOS06
BOS191005312,BOS06
BOS191006210,BOS06
BOS191006221,BOS06
BOS191006222,BOS06
BOS191006230,BOS06
BOS191006240,BOS06
BOS191007081,BOS06
BOS191007082,BOS06
BOS191007090,BOS06
BOS191007111,BOS06
BOS191007112,BOS06
BOS191007120,BOS06
BOS191007130,BOS06
BOS191007141,BOS06
BOS191007142,BOS06
BOS191007150,BOS06
BOS191007160,BOS06
BOS191007180,BOS06
BOS191007191,BOS06
BOS191007192,BOS06
BOS191007200,BOS06
BOS191007210,BOS06
BOS191007220,BOS06
BOS191007230,BOS06
BOS191007250,BOS06
BOS191007260,BOS06
BOS191007271,BOS06
BOS191007272,BOS06
BOS191007280,BOS06
BOS191007290,BOS06
BOS191007300,BOS06
BOS191008180,BOS06
BOS191008190,BOS06
BOS191008200,BOS06
BOS191008220,BOS06
BOS191008230,BOS06
BOS191008240,BOS06
BOS191008250,BOS06
BOS191008260,BOS06
BOS191008270,BOS06
BOS191008290,BOS06
BOS191008300,BOS06
BOS191008310,BOS06
BOS191009051,BOS06
BOS191009052,BOS06
BOS191009070,BOS06
BOS191009080,BOS06
BOS191009090,BOS06
BOS191009101,BOS06
BOS191009102,BOS06
BOS191009121,BOS06
BOS191009122,BOS06
BOS191009130,BOS06
BRO191004200,NYC12
BRO191004210,NYC12
BRO191005020,NYC12
BRO191005030,NYC12
BRO191005040,NYC12
BRO191005050,NYC12
BRO191005060,NYC12
BRO191005070,NYC12
BRO191005270,NYC12
BRO191005280,NYC12
BRO191005301,NYC12
BRO191005302,NYC12
BRO191005310,NYC12
BRO191006010,NYC12
BRO191006020,NYC12
BRO191006040,NYC12
BRO191006060,NYC12
BRO191006070,NYC12
BRO191006080,NYC12
BRO191006090,NYC12
BRO191006130,NYC12
BRO191006140,NYC12
BRO191006150,NYC12
BRO191006170,NYC12
BRO191006200,NYC12
BRO191006210,NYC12
BRO191006220,NYC12
BRO191006230,NYC12
BRO191007260,NYC12
BRO191007280,NYC12
BRO191007290,NYC12
BRO191007300,NYC12
BRO191008010,NYC12
BRO191008021,NYC12
BRO191008022,NYC12
BRO191008030,NYC12
BRO191008051,NYC12
BRO191008052,NYC12
BRO191008060,NYC12
BRO191008110,NYC12
BRO191008120,NYC12
BRO191008131,NYC12
BRO191008132,NYC12
BRO191008151,NYC12
BRO191008152,NYC12
BRO191008171,NYC12
BRO191008172,NYC12
BRO191009051,NYC12
BRO191009052,NYC12
BRO191009101,NYC12
BRO191009102,NYC12
BRO191009120,NYC12
BRO191009130,NYC12
BRO191009140,NYC12
BRO191009150,NYC12
BRO191009160,NYC12
BRO191009171,NYC12
BRO191009172,NYC12
BRO191009201,NYC12
BRO191009202,NYC12
BRO191009210,NYC12
BRO191009220,NYC12
BRO191009230,NYC12
BRO191009241,NYC12
BRO191009242,NYC12
BRO191009261,NYC12
BRO191009262,NYC12
BRO191009270,NYC12
BRO191009280,NYC12
BRO191009290,NYC12
BRO191009300,NYC12
BRO191010011,NYC12
BRO191010012,NYC12
BRO191010030,NYC12
BRO191010081,NYC12
BRO191010082,NYC12
BRO191010121,NYC12
BRO191010122,NYC12
BSN191004140,BOS05
BSN191004150,BOS05
BSN191004160,BOS05
BSN191004270,BOS05
BSN191004280,BOS05
BSN191004290,BOS05
BSN191004300,BOS05
BSN191005020,BOS05
BSN191006010,BOS05
BSN191006020,BOS05
BSN191006030,BOS05
BSN191006040,BOS05
BSN191006070,BOS05
BSN191006081,BOS05
BSN191006082,BOS05
BSN191006090,BOS05
BSN191006131,BOS05
BSN191006132,BOS05
BSN191006140,BOS05
BSN191006150,BOS05
BSN191006181,BOS05
BSN191006182,BOS05
BSN191006250,BOS05
BSN191006270,BOS05
BSN191006280,BOS05
BSN191006290,BOS05
BSN191006301,BOS05
BSN191006302,BOS05
BSN191007011,BOS05
BSN191007012,BOS05
BSN191007020,BOS05
BSN191007041,BOS05
BSN191007042,BOS05
BSN191007050,BOS05
BSN191007060,BOS05
BSN191007071,BOS05
BSN191007072,BOS05
BSN191008020,BOS05
BSN191008031,BOS05
BSN191008032,BOS05
BSN191008051,BOS05
BSN191008052,BOS05
BSN191008060,BOS05
BSN191008080,BOS05
BSN191008090,BOS05
BSN191008100,BOS05
BSN191008120,BOS05
BSN191008131,BOS05
BSN191008132,BOS05
BSN191008151,BOS05
BSN191008152,BOS05
BSN191008161,BOS05
BSN191008162,BOS05
BSN191008170,BOS05
BSN191009021,BOS05
BSN191009022,BOS05
BSN191009030,BOS05
BSN191009151,BOS05
BSN191009170,BOS05
BSN191009201,BOS05
BSN191009202,BOS05
BSN191009221,BOS05
BSN191009222,BOS05
BSN191009230,BOS05
BSN191009240,BOS05
BSN191009260,BOS05
BSN191009281,BOS05
BSN191009282,BOS05
BSN191009290,BOS05
